"@timestamp","@timestamp","_id",bytes,clientip,"geoip.country_code3",httpversion,request,response,"useragent.device","useragent.name","useragent.os",verb,"useragent.os_name"
"Jun 20, 2020 @ 14:45:42.000","Jun 20, 2020 @ 14:45:42.000",JVbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:41.000","Jun 20, 2020 @ 14:45:41.000",JFbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:40.000","Jun 20, 2020 @ 14:45:40.000",I1bk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:39.000","Jun 20, 2020 @ 14:45:39.000",Ilbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:38.000","Jun 20, 2020 @ 14:45:38.000",IVbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:37.000","Jun 20, 2020 @ 14:45:37.000",IFbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:36.000","Jun 20, 2020 @ 14:45:36.000",H1bk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:35.000","Jun 20, 2020 @ 14:45:35.000",Hlbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:34.000","Jun 20, 2020 @ 14:45:34.000",HVbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
"Jun 20, 2020 @ 14:45:33.000","Jun 20, 2020 @ 14:45:33.000",HFbk1HIBxLQmqGLLs2PB,126,"127.0.0.1",,"1.0","*",200,Other,Other,Debian,OPTIONS,Debian
